latitude,longitude,name,provider,full_address,facility_type,data_center_count,aggregated_power,aggregated_area,yearbuilt,sources,avg_name_similarity,avg_provider_similarity
25.9454596,-80.19147509999999,EdgeConneX · MIA02,EdgeConneX,"475 NE 185th Street, Miami, FL, USA",Individual,1,2.0,65518.0,1983.0,datacenterhawk; datacenters.com,1.0,1.0
26.1239168,-80.1459319,Not Available,Lumen,"200 Northwest 2nd Street, Fort Lauderdale, FL, USA",Individual,1,,9108.0,,datacenters.com,1.0,1.0
26.1664428,-98.2297788,1547 Critical Systems Realty: McAllen TX Data Center,Chase Bank,"South 10th Street, McAllen, TX, USA",Individual,1,1.0,209000.0,,datacenters.com,1.0,1.0
26.1849652,-80.28689949999999,Sunrise Data Services · T-Mobile Everglades MSO,FP&L,"4850 NW 103rd Ave., Sunrise, FL, USA",Individual,1,1.75,33560.0,2018.0,datacenterhawk,1.0,1.0
26.185051,-80.19083309999999,365 Data Centers · FL1,365 Data Centers,"3250 W Commercial Blvd, Suite 140Fort Lauderdale, Miami, FL, USA",Individual,1,0.935,83326.0,1990.0,datacenterhawk; datacenters.com,1.0,1.0
26.1901149,-80.1932918,Flexential · Fort Lauderdale,Flexential,"5301 NW 33rd Avenue, Fort Lauderdale, FL, USA",Individual,1,,64164.0,1994.0,datacenterhawk,1.0,1.0
26.1927222,-80.10384499999999,Flexential: Fort Lauderdale Data Center,Flexential,"5301 Northwest 33rd Avenue, Fort Lauderdale, FL, USA",Ambiguous/Flagged,2,,,,datacenters.com,0.6605504587155964,0.3333333333333333
26.193732142857144,-97.69097642857145,Lumen Harlingen 2,Lumen,"514 E Monroe Ave, Harlingen, TX, 78550, USA",Individual,1,0.02,,,datacentermap,1.0,1.0
26.193897040816328,-97.691061122449,Lumen Harlingen 1,Lumen,"505 E. Monroe, Harlingen, TX, 78550, USA",Individual,1,,5208.0,,datacentermap,1.0,1.0
26.1993898,-98.2321541,MDC Data Centers · MCA2,MDC Data Centers,"422 South 11th Street, McAllen, TX, USA",Individual,1,0.5,16000.0,1990.0,datacenterhawk; datacenters.com,1.0,1.0
26.19973476413753,-98.23187922354096,MDC McAllen - MCA2,MDC Data Centers,"422 S 11th St, McAllen, TX, 78501, USA",Individual,1,1.0,,2020.0,datacentermap,1.0,1.0
26.201918,-98.2316325,1547 Realty · McAllenFeatured,1547 Critical Systems Realty,"200 South 10th Street, McAllen, TX, USA",Ambiguous/Flagged,2,,,1978.0,datacenterhawk; datacentermap,0.4864864864864865,0.22727272727272727
26.2019209,-98.2313815553023,MDC Data Centers: MCA1 McAllen Data Center,,"200 S 10th St, McAllen, TX, 78501, USA",Individual,1,,209000.0,,datacenters.com,1.0,1.0
26.204520242349105,-98.22881724661036,Lumen McAllen 1,Lumen,"906 Beech Avenue, McAllen, TX, 78505, USA",Individual,1,,6015.0,,datacentermap,1.0,1.0
26.2898239,-80.1299085,Volico · FLL1,Volico,"500 Green Road, Deerfield, FL, USA",Individual,1,,152000.0,2002.0,datacenterhawk,1.0,1.0
26.289850040725028,-80.12915194123656,Volico Data Center: FLL1 - Broward Data Center,Volico,"500 Green Road, Deerfield Beach, FL, 33064, USA",Individual,1,48.0,140000.0,,datacenters.com,1.0,1.0
26.3817708,-80.0845196,365 Data Centers: BCA Boca Raton Data Center,365 Data Centers,"3500 Northwest Boca Raton Boulevard, Boca Raton, FL, USA",Individual,1,2.0,49850.0,,datacenters.com,1.0,1.0
26.3818261,-80.0843453,365 Data Centers · BR4,365 Data Centers,"3500 NW Boca Raton Blvd, Bldg 900, Boca Raton, FL, USA",Individual,1,,34000.0,1999.0,datacenterhawk,1.0,1.0
26.3889623,-80.1091478,Equinix · MI3,Equinix,"4680 Conference Way S, Suite 150, Boca Raton, FL, USA",Individual,1,,,1977.0,datacenterhawk,1.0,1.0
26.3893542,-80.1088911,Equinix: MI3 Boca Raton Data Center,Equinix,"4680 Conference Way South, Boca Raton, FL, USA",Individual,1,2.0,31310.0,,datacenters.com,1.0,1.0
26.3928052,-80.109732,Cogent Communications: Boca Raton Data Center,Cogent Communications,"5050 Conference Way North, Boca Raton, FL, USA",Individual,1,,10011.0,,datacenters.com,1.0,1.0
26.6835844,-80.0551754,Lumen: West Palm Beach 1 Data Center,Lumen,"410 Hampton Road, West Palm Beach, FL, USA",Individual,1,,4897.0,,datacenters.com,1.0,1.0
27.4244645,-80.4092194,Data Shelter · 2299 S Rock Road,Data Shelter LLC,"2299 S Rock Road, Fort Pierce, FL, USA",Individual,1,0.85,17000.0,1964.0,datacenterhawk,1.0,1.0
27.505685126580563,-99.50102953066208,Lumen Laredo 1,Lumen,"518 Farragut, Laredo, TX, 78040, USA",Individual,1,,4800.0,,datacentermap,1.0,1.0
27.506397075602685,-99.5010238933477,Windstream Laredo,Windstream,"520 Matamoros St, Laredo, TX, 78040, USA",Individual,1,,,,datacentermap,1.0,1.0
27.689285116863775,-99.45361269764452,MDC Laredo - LDO1,MDC Data Centers,"13619 Cabezut Dr, Laredo, TX, 78045, USA",Individual,1,0.65,8400.0,2018.0,datacentermap; datacenters.com,1.0,1.0
27.690588,-99.449913,MDC Data Centers · LDO1,Media Networks Services,"13619 Cabezut Drive, Unitec Industrial Park, Laredo, TX, USA",Individual,1,,8400.0,2018.0,datacenterhawk,1.0,1.0
