unique_key,source,Name,Provider,StreetAddress,City,ZipCode,State,Country,Whitespace,Area,YearBuilt,Power,Scale,Certifications,URL,Power_Standardized,Area_Standardized
iron-mountain-kcm-1-kansas-city,datacenters.com,Iron Mountain Data Centers: KCM - 1 - Kansas City Data Center,Iron Mountain,6301 Winchester Avenue,Kansas City,,MO,USA,50000 sqft total space,50000 sqft,,3.0 MW total power,,"FedRAMP, FISMA, HIPAA, ISO 14001, ISO 22301, ISO 27001, ISO 50001, ISO 9001, ISO 9001:2015, NIST 800-53, PCI DSS, SOC 2 Type 2, SOC 3",https://www.datacenters.com/iron-mountain-kcm-1-kansas-city,3.0,50000.0
edgeconnex-sea01-seattle,datacenters.com,EdgeConnex: SEA01 Seattle Data Center,EdgeConnex,3425 South 116th Street building 6 suite 133,Seattle,98168,WA,USA,47000 sqft total space,47000 sqft,,4.0 MW total power,,"HIPAA, ISO 27001, PCI DSS, SOC 2 Type 2",https://www.datacenters.com/edgeconnex-sea01-seattle,4.0,47000.0
1547-critical-systems-realty-haii1-alohanap,datacenters.com,1547 Critical Systems Realty: HAII1 AlohaNAP Data Center,HAII1 AlohaNAP,91-340 Farrington Hwy,Kapolei,,HI,USA,10200 sqft total space,8350 sqft colocation space,,2.0 MW total power,,"HIPAA, PCI DSS, SOC 2, SSAE 16 Type 2",https://www.datacenters.com/1547-critical-systems-realty-haii1-alohanap,2.0,10200.0
telehouse-new-york-chelsea,datacenters.com,Telehouse: New York Chelsea Data Center,Telehouse,85 10th Avenue,New York,,NY,USA,635000 sqft total space,60000 sqft colocation space,,4.0 MW total power,,"HIPAA, PCI DSS, SOC 1 Type 2",https://www.datacenters.com/telehouse-new-york-chelsea,4.0,635000.0
dc-blox-myrtle-beach-cable-landing-station,datacenters.com,DC BLOX: Myrtle Beach Cable Landing Station,DC BLOX,1401 Howard Avenue,Myrtle Beach,,SC,USA,125000 sqft total space,125000 sqft,,15.0 MW,Hyperscale,,https://www.datacenters.com/dc-blox-myrtle-beach-cable-landing-station,15.0,125000.0
inap-phoenix-1,datacenters.com,INAP: Phoenix 1 Data Center,,2121 South Price Road,Chandler,,AZ,USA,58000 sqft total space,58000 sqft colocation space,,22.0 MW total power,,"HIPAA, LEED, PCI DSS, SOC 2 Type 2",https://www.datacenters.com/inap-phoenix-1,22.0,58000.0
h5-seattle,datacenters.com,H5 Data Centers: Seattle Data Center,H5 Data Centers,1000 Denny Way,Seattle,,WA,USA,293000 sqft total space,40000 sqft colocation space,,30.0 MW total power,,"ISO 27001, SOC 1, SOC 2 Type 2, SSAE 18",https://www.datacenters.com/h5-seattle,30.0,293000.0
volico-fll1-broward,datacenters.com,Volico Data Center: FLL1 - Broward Data Center,Volico,500 Green Road,Deerfield Beach,33064,FL,USA,140000 sqft total space,12000 sqft colocation space,,48.0 MW total power,Enterprise-Class,"HIPAA, PCI DSS, SOC 2 Type 2, SSAE 16 Type 2",https://www.datacenters.com/volico-fll1-broward,48.0,140000.0
edgeconnex-por02-portland,datacenters.com,EdgeConnex: POR02 Portland Data Center,EdgeConnex,6297 NE Evergreen Pkwy building a,Hillsboro,97124,OR,USA,16850 sqft total space,16850 sqft,,3.0 MW total power,,"HIPAA, ISO 27001, PCI DSS, SOC 2 Type 2",https://www.datacenters.com/edgeconnex-por02-portland,3.0,16850.0
expedient-pittsburgh-green-tree,datacenters.com,Expedient: Pittsburgh - Green Tree Data Center,Expedient,810 Parish Street,Pittsburgh,,PA,USA,26000 sqft total space,12000 sqft colocation space,,1.0 MW total power,,"EU-US, HIPAA, HITECH, HITRUST CSF, PCI DSS, Privacy Shield, SOC 1 Type 2, SOC 2 Type 2, SSAE 18",https://www.datacenters.com/expedient-pittsburgh-green-tree,1.0,26000.0
365-bu1-buffalo,datacenters.com,365 Data Centers: BU1 Buffalo Data Center,365 Data Centers,350 Main Street,Buffalo,,NY,USA,,19000 sqft,,1.0 MW,,"HIPAA, ISAE-3402, PCI DSS, SOC 2, SSAE 18",https://www.datacenters.com/365-bu1-buffalo,1.0,19000.0
cyrusone-sat5-san-antonio,datacenters.com,CyrusOne: SAT5 San Antonio Data Center,CyrusOne,14719 Omicron Drive,San Antonio,,TX,USA,175000 sqft total space,50000 sqft colocation space,,18.0 MW total power,Enterprise,"FISMA, HIPAA, HITECH, HITRUST CSF, ISO 22301, ISO 27001, PCI DSS, SOC 1, SOC 2",https://www.datacenters.com/cyrusone-sat5-san-antonio,18.0,175000.0
centersquare-iad2-sterling-campus,datacenters.com,Not Available,,22810 International Drive,Sterling,,VA,USA,556457 sqft,556457 sqft,,47.0 MW,,"FedRAMP, FISMA, HITECH, ISO 27001, NIST 800-53, PCI DSS, SOC 1, SOC 1 Type 2, SOC 2, SOC 2 Type 1, SOC 2 Type 2, SSAE 16 Type 1, SSAE 16 Type 2, SSAE 18",https://www.datacenters.com/centersquare-iad2-sterling-campus,47.0,556457.0
equinix-sv17-silicon-valley,datacenters.com,Equinix: SV17 Silicon Valley Data Center,Equinix,3030 Corvin Drive,Santa Clara,,CA,USA,95000 sqft total space,40205 sqft colocation space,,9.0 MW total power,,"FISMA, HIPAA, ISO 27001, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2",https://www.datacenters.com/equinix-sv17-silicon-valley,9.0,95000.0
psychz-networks-dallas,datacenters.com,Psychz Networks: Dallas Data Center,Psychz Networks,1515 Round Table Drive,Dallas,,TX,USA,60000 sqft total space,60000,,10MW,Enterprise,"HIPAA, PCI DSS",https://www.datacenters.com/psychz-networks-dallas,10.0,60000.0
digital-realty-boston-bos16,datacenters.com,Digital Realty: Boston BOS16 Data Center,Digital Realty,105 Cabot Street,Needham,,MA,USA,133000 sqft,40000 sqft,,10.0 MW,,"HIPAA, ISO 27001, NIST 800-53, PCI DSS, SOC 2, SOC 3",https://www.datacenters.com/digital-realty-boston-bos16,10.0,133000.0
stream-san-antonio-ii-westover-hills,datacenters.com,Stream Data Centers: San Antonio II - Westover HIlls Data Center,Stream Data Centers,9550 Westover Hills Blvd,San Antonio,,Texas,USA,75840 sqft total space,30000 sqft colocation space,,10.0 MW total power,,"HIPAA, ISO 27001, LEED, PCI DSS, SOC 1 Type 2, SOC 2 Type 1, SOC 2 Type 2",https://www.datacenters.com/stream-san-antonio-ii-westover-hills,10.0,75840.0
cbre-2121-e-63rd-st,datacenters.com,CBRE: 2121 E 63rd St Data Center,CBRE,2121 East 63rd Street,Kansas City,,MO,USA,"450,021 SF","270,000 SF",,3.6MW,Enterprise,,https://www.datacenters.com/cbre-2121-e-63rd-st,3.6,450021.0
