unique_key,source,Name,Provider,StreetAddress,City,ZipCode,State,Country,Whitespace,Area,YearBuilt,Power,Scale,Certifications,URL,Power_Standardized,Area_Standardized
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/1525-comstock-street/,datacentermap,1525 Comstock St (SJC16),Digital Realty,1525 Comstock Street,Santa Clara,95054,California,USA,"65,500 sq.f.",,1980,"4,500 kW",,Platinum LEED certified,https://www.datacentermap.com/usa/california/santa-clara/1525-comstock-street/,4.5,65500.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/2805-lafayette/,datacentermap,2805 Lafayette St (SJC31),Digital Realty,2805 Lafayette Street,Santa Clara,95050,California,USA,"55,800 sq.f.","145,800 sq.f.",1984,9.3 MW,,DSS PCI Certified ISO27001 Certified ISO9001 Certified ISO14001 Certified ISO50001 Certified SOC 2 Type II Certified SOC 3 Type 2 Certified,https://www.datacentermap.com/usa/california/santa-clara/2805-lafayette/,9.3,145800.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/1201-comstock-street/,datacentermap,1201 Comstock St (SJC15),Digital Realty,1201 Comstock Street,Santa Clara,95054,California,USA,"65,500 sq.f.","65,500 sq.f.",1975,2.2 MW,,LEED Platinum,https://www.datacentermap.com/usa/california/santa-clara/1201-comstock-street/,2.2,65500.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/centersquare-silicon-valley-sfo4-b/,datacentermap,Centersquare - Silicon Valley SFO4-B,,1550 Space Park Dr,Santa Clara,95054,California,USA,"40,664 sq.f.","31,448 sq.f.",,3.3 MW,,"Tier 3, DSS, PCI Certified, ISO27001 Certified, ISAE3402 Type 2 Certified, SOC 1 Type I Certified, SOC 2 Type II Certified, NIST 800-53 Certified",https://www.datacentermap.com/usa/california/santa-clara/centersquare-silicon-valley-sfo4-b/,3.3,40664.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/3011-lafayette-street/,datacentermap,3011 Lafayette St (SJC11),Digital Realty,3011 Lafayette Street,Santa Clara,95054,California,USA,"51,000 sq.f.","90,800 sq.f.",2001,6 MW,,"DSS, PCI Compliant, SOC 2 Type II Certified, SOC 3 Type 2 Certified",https://www.datacentermap.com/usa/california/santa-clara/3011-lafayette-street/,6.0,90800.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/ntt-silicon-valley-sv1/,datacentermap,NTT Silicon Valley SV1,NTT Global Data Centers,1160 Walsh Avenue,Santa Clara,95050,California,USA,"64,090 sq.f.","64,090 sq.f.",,16 MW,,"DSS PCI Certified, ISO27001 Certified, LEED Gold, HIPAA, SOC 1 Type II Certified, SOC 2 Type II Certified, NIST 800-53 Certified",https://www.datacentermap.com/usa/california/santa-clara/ntt-silicon-valley-sv1/,16.0,64090.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/svcolo-santa-clara/,datacentermap,EdgeConneX Santa Clara - EDCSVC02,EdgeConneX,1700 Richard Avenue,Santa Clara,95050,California,USA,"19,800 sq.f.","11,700 sq.f.",2001,1.8 MW,,"Tier Design Tier 3, DSS, PCI Compliant, ISO27001 Certified, HIPAA, SOC 2 Type II Certified",https://www.datacentermap.com/usa/california/santa-clara/svcolo-santa-clara/,1.8,19800.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/internap-santa-clara/,datacentermap,Evocative SJC11,Evocative Data Centers,2151 Mission College Blvd,Santa Clara,95054,California,USA,"73,000 sq.f.","73,000 sq.f.",,9 MW,,"DSS PCI Compliant, HIPAA, SOC 2 Type II Certified, SOC 3 Type 1 Certified",https://www.datacentermap.com/usa/california/santa-clara/internap-santa-clara/,9.0,73000.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/prime-santa-clara-1/,datacentermap,Prime Santa Clara - 1111 Comstock,Prime Data Centers,1111 Comstock St,Santa Clara,95054,California,USA,"36,684 sq.f.","122,576 sq.f.",,9 MW,,"Tier 3, SOC 2 Type II Certified",https://www.datacentermap.com/usa/california/santa-clara/prime-santa-clara-1/,9.0,122576.0
California_Santa Clara_https://www.datacentermap.com/usa/california/santa-clara/prime-santa-clara-2/,datacentermap,Prime Santa Clara - 1231 Comstock,Prime Data Centers,1231 Comstock St,Santa Clara,95054,California,USA,"28,840 sq.f.","111,974 sq.f.",,9 MW,,"Tier 3, ISO27001 Certified, SOC 2 Type II Certified",https://www.datacentermap.com/usa/california/santa-clara/prime-santa-clara-2/,9.0,111974.0
