unique_key,source,Name,Provider,StreetAddress,City,ZipCode,State,Country,Whitespace,Area,YearBuilt,Power,Scale,Certifications,URL,Power_Standardized,Area_Standardized
centersquare-iad3-a-dulles,datacenters.com,Centersquare: IAD3-A Dulles Data Center,Centersquare,22995 Wilder Court,Dulles,20166,VA,USA,43 sqft total space,43 sqft colocation space,,2.0 MW total power,"Hyperscale, Enterprise, Cloud service providers","HIPAA, ISO 27001, PCI DSS, SOC 2",https://www.datacenters.com/centersquare-iad3-a-dulles,2.0,43.0
ibm-sjc01-san-jose-ca,datacenters.com,"IBM Cloud: SJC01 San Jose, CA",IBM Cloud,3105 Alfred Street,Santa Clara,,CA,USA,,,,,,"SOC 1, SSAE 16 Type 1",https://www.datacenters.com/ibm-sjc01-san-jose-ca,,
cologix-min3-minneapolis,datacenters.com,Cologix: MIN3 Minneapolis Data Center,Cologix,511 11th Avenue South,Minneapolis,,MN,USA,28000 sqft total space,28000 sqft colocation space,,,Enterprise,"HIPAA, ISO 27001, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SSAE 18",https://www.datacenters.com/cologix-min3-minneapolis,,28000.0
flexential-nashville-brentwood,datacenters.com,Not Available,Flexential,7100 Commerce Way suite 25,Brentwood,37027,TN,USA,19150 sqft,12500 sqft,,1.0 MW,,"HIPAA, ISO 27001, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 16 Type 1, SSAE 18",https://www.datacenters.com/flexential-nashville-brentwood,1.0,19150.0
amazon-aws-45111-loudoun-downs,datacenters.com,Amazon AWS: 45111 Loudoun Downs,Amazon AWS,45111 Loudoun Downs Ln,Sterling,20166,VA,USA,143730 sqft total space,143730 sqft,,,,"ISO 22301, ISO 27001, ISO 9001, PCI DSS, SOC 1, SOC 2, SOC 3",https://www.datacenters.com/amazon-aws-45111-loudoun-downs,,143730.0
amazon-aws-7500-bethlehem,datacenters.com,Not Available,Amazon AWS,7500 Bethlehem Rd,Manassas,20109,VA,USA,,,,,,"ISO 22301, ISO 27001, ISO 9001, PCI DSS, SOC 1, SOC 2, SOC 3",https://www.datacenters.com/amazon-aws-7500-bethlehem,,
mdc-mca2-mcallen,datacenters.com,MDC Data Centers: MCA2 McAllen Data Center,MDC Data Centers,422 S 11th St,McAllen,,TX,USA,16000 sqft total space,16000 sqft,,1.0 MW,,,https://www.datacenters.com/mdc-mca2-mcallen,1.0,16000.0
amazon-aws-iad57-prologis-building-10,datacenters.com,Amazon AWS: IAD57 (Prologis building 10),Amazon AWS,22755 Relocation Drive,Sterling,,VA,USA,116000 sqft total space,116000 sqft,,,,,https://www.datacenters.com/amazon-aws-iad57-prologis-building-10,,116000.0
quadranet-los-angeles-downtown-hq,datacenters.com,QuadraNet: Los Angeles - Downtown HQ Data Center,QuadraNet,530 W 6th St,Los Angeles,,CA,USA,300000 sqft,80000 sqft,2004,,Enterprise,SSAE 16 Type 1,https://www.datacenters.com/quadranet-los-angeles-downtown-hq,,300000.0
lumen-phoenix-1,datacenters.com,Lumen: Phoenix 1 Data Center,Lumen,811 South 16th Street,Phoenix,,AZ,USA,47836 sqft total space,26250 sqft colocation space,,11.0 MW total power,,"HIPAA, ISO 27001, PCI DSS, SOC 1, SOC 2, SSAE 18",https://www.datacenters.com/lumen-phoenix-1,11.0,47836.0
