unique_key,source,name,provider,streetaddress,city,zipcode,state,country,whitespace,area,yearbuilt,power,scale,certifications,url,power_standardized,area_standardized,full_address,latitude,longitude
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/ntt-ashburn-va7/,datacentermap,NTT Ashburn VA7,NTT Global Data Centers,44371 Gigabit Plaza,Ashburn,20147,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/ntt-ashburn-va7/,,,"44371 Gigabit Plaza, Ashburn, VA, 20147, USA",39.018336681386316,-77.47015068811973
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/cloudhq-lc2/,datacentermap,CloudHQ LC2,CloudHQ,44621 Waxpool Rd,Ashburn,20147,VA,USA,"580,000 square feet","53,883 square meters",2019,88 MW,,,https://www.datacentermap.com/usa/virginia/ashburn/cloudhq-lc2/,88.0,580000.0,"44621 Waxpool Rd, Ashburn, VA, 20147, USA",,
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/compass-loudoun-county-i-a/,datacentermap,Compass Loudoun County I - A,Compass Datacenters,42310 Thunderball Dr,Ashburn,20148,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/compass-loudoun-county-i-a/,,,"42310 Thunderball Dr, Ashburn, VA, 20148, USA",,
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/aws-iad-44862-interconnection/,datacentermap,Amazon AWS IAD - 44862 Interconnection,Amazon AWS,44862 Interconnection Plz,Ashburn,20147,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/aws-iad-44862-interconnection/,,,"44862 Interconnection Plz, Ashburn, VA, 20147, USA",39.02710865,-77.45282885
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/microsoft-41700-inclusion-ln/,datacentermap,Microsoft - 41700 Inclusion Ln (IAD4),Microsoft,41700 Inclusion Ln,Ashburn,20175,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/microsoft-41700-inclusion-ln/,,,"41700 Inclusion Ln, Ashburn, VA, 20175, USA",,
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/aws-iad-44854-interconnection/,datacentermap,Amazon AWS IAD - 44854 Interconnection,Amazon AWS,44854 Interconnection Plz,Ashburn,20147,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/aws-iad-44854-interconnection/,,,"44854 Interconnection Plz, Ashburn, VA, 20147, USA",39.0263681,-77.4495202253672
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/compass-loudoun-county-i-d/,datacentermap,Compass Loudoun County I - D,Compass Datacenters,42311 Thunderball Dr,Ashburn,20148,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/compass-loudoun-county-i-d/,,,"42311 Thunderball Dr, Ashburn, VA, 20148, USA",,
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/sdc-ashburn-b/,datacentermap,SDC Ashburn B,Sabey Data Center Properties LLC,21745 Red Rum,Ashburn,20147,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/sdc-ashburn-b/,,,"21745 Red Rum, Ashburn, VA, 20147, USA",,
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/amazon-iad-44305-import/,datacentermap,Amazon IAD - 44305 Import,Amazon AWS,44305 Import Plaza,Ashburn,20147,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/amazon-iad-44305-import/,,,"44305 Import Plaza, Ashburn, VA, 20147, USA",,
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/amazon-aws-iad-20935-loudoun/,datacentermap,Amazon AWS IAD - 20935 Loudoun,Amazon AWS,20935 Loudoun County Pkwy,Ashburn,20147,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/amazon-aws-iad-20935-loudoun/,,,"20935 Loudoun County Pkwy, Ashburn, VA, 20147, USA",,
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/amazon-iad-44351-import/,datacentermap,Amazon IAD - 44351 Import,Amazon AWS,44351 Import Plaza,Ashburn,20147,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/amazon-iad-44351-import/,,,"44351 Import Plaza, Ashburn, VA, 20147, USA",,
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/amazon-aws-iad-21267-smith/,datacentermap,Amazon AWS IAD - 21267 Smith,Amazon AWS,21267 Smith Switch Rd,Ashburn,20147,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/amazon-aws-iad-21267-smith/,,,"21267 Smith Switch Rd, Ashburn, VA, 20147, USA",39.0287737,-77.4582461
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/amazon-iad-44254-import/,datacentermap,Amazon IAD - 44254 Import,Amazon AWS,44254 Import Plaza,Ashburn,20147,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/amazon-iad-44254-import/,,,"44254 Import Plaza, Ashburn, VA, 20147, USA",,
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/ntt-ashburn-va9/,datacentermap,NTT Ashburn VA9,NTT Global Data Centers,44720 Gigabit Plaza,Ashburn,20147,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/ntt-ashburn-va9/,,,"44720 Gigabit Plaza, Ashburn, VA, 20147, USA",39.018336681386316,-77.47015068811973
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/ntt-ashburn-va8/,datacentermap,NTT Ashburn VA8,NTT Global Data Centers,44725 Gigabit Plaza,Ashburn,20147,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/ntt-ashburn-va8/,,,"44725 Gigabit Plaza, Ashburn, VA, 20147, USA",39.018336681386316,-77.47015068811973
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/tech-park-at-brambleton/,datacentermap,,,nan,nan,,Nan,nan,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/tech-park-at-brambleton/,,,None,44.933143,7.540121
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/lumen-ashburn/,datacentermap,Lumen Ashburn,Lumen,44633 Guilford Drive,Ashburn,20147,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/lumen-ashburn/,,,"44633 Guilford Drive, Ashburn, VA, 20147, USA",39.022692869530474,-77.45661547823606
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/amazon-aws-iad-21271-smith/,datacentermap,Amazon AWS IAD - 21271 Smith,Amazon AWS,21271 Smith Switch Rd,Ashburn,20147,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/amazon-aws-iad-21271-smith/,,,"21271 Smith Switch Rd, Ashburn, VA, 20147, USA",39.027912650000005,-77.45749705034054
Virginia_Ashburn_https://www.datacentermap.com/usa/virginia/ashburn/amazon-aws-iad-21263-smith/,datacentermap,Amazon AWS IAD - 21263 Smith,Amazon AWS,21263 Smith Switch Rd,Ashburn,20147,VA,USA,,,,,,,https://www.datacentermap.com/usa/virginia/ashburn/amazon-aws-iad-21263-smith/,,,"21263 Smith Switch Rd, Ashburn, VA, 20147, USA",39.029577450000005,-77.45966508539769
