unique_key,source,name,provider,streetaddress,city,zipcode,state,country,whitespace,area,yearbuilt,power,scale,certifications,url,power_standardized,area_standardized,full_address,latitude,longitude
databank-sfo1-silicon-valley,datacenters.com,DataBank: SFO1 Silicon Valley Data Center,DataBank,5101 Lafayette Street,Santa Clara,,CA,USA,26935 sqft total space,13770 sqft colocation space,,3.0 MW total power,,"HIPAA, HITECH, ISO 27001, PCI DSS, Privacy Shield, SOC 1, SOC 2, SSAE 18",https://www.datacenters.com/databank-sfo1-silicon-valley,3.0,26935.0,"5101 Lafayette Street, Santa Clara, CA, None, USA",,
databank-hou3-westway-park-iii,datacenters.com,DataBank: HOU3 -Westway Park III Data Center,DataBank,11003 Corporate Centre Dr,Houston,77041,TX,USA,162000 sqft,41860 sqft,,4.0 MW,,"FISMA, HIPAA, HITECH, ISO 27001, PCI DSS, Privacy Shield, SOC 1, SOC 2, SSAE 18",https://www.datacenters.com/databank-hou3-westway-park-iii,4.0,162000.0,"11003 Corporate Centre Dr, Houston, TX, 77041, USA",29.841112708928314,-95.563172208119
databank-mem1-memphis,datacenters.com,DataBank: MEM1 - Memphis Data Center,,7620 Appling Center Drive,Memphis,,TN,USA,20000 sqft total space,7090 sqft colocation space,,,,"HIPAA, HITECH, ISO 27001, PCI DSS, Privacy Shield, SOC 1, SOC 2, SSAE 18",https://www.datacenters.com/databank-mem1-memphis,,20000.0,"7620 Appling Center Drive, Memphis, TN, None, USA",,
digital-fortress-portland-3-ptl3,datacenters.com,Digital Fortress: Portland Data Center 3 - (PTL3),Digital Fortress,9610 Southwest Sunshine Court,Beaverton,,OR,USA,6700 sqft total space,3326 sqft colocation space,,1.0 MW total power,,"SOC 1 Type 2, SOC 2 Type 2",https://www.datacenters.com/digital-fortress-portland-3-ptl3,1.0,6700.0,"9610 Southwest Sunshine Court, Beaverton, OR, None, USA",,
dastor-llc-king-of-prussia,datacenters.com,"DaSTOR, LLC: King of Prussia Data Center","DaSTOR, LLC",3400 Horizon Drive,King of Prussia,,PA,USA,22000 sqft total space,22000 sqft,,,,"FISMA, HIPAA, SOC 1, SOC 1 Type 2, SOC 2, SOC 2 Type 1, SOC 2 Type 2, SOC 3, SSAE 16 Type 2, SSAE 18",https://www.datacenters.com/dastor-llc-king-of-prussia,,22000.0,"3400 Horizon Drive, King of Prussia, PA, None, USA",,
1547-critical-systems-realty-chwy1-cheyenne,datacenters.com,Not Available,fifteenfortyseven and Green House Data,340 Progress Circle,Cheyenne,,WY,USA,42000 sqft total space,42000 sqft colocation space,,5.0 MW total power,Enterprise,"HIPAA, PCI DSS, SSAE 16 Type 2",https://www.datacenters.com/1547-critical-systems-realty-chwy1-cheyenne,5.0,42000.0,"340 Progress Circle, Cheyenne, WY, None, USA",,
flexential-las-vegas-downtown,datacenters.com,Flexential: Las Vegas - Downtown Data Center,Flexential,304 E Carson Ave suite 370,Las Vegas,89101,NV,USA,33135 sqft,13718 sqft,,1.0 MW,,"HITRUST CSF, NIST 800-53, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SOC 3, SSAE 18",https://www.datacenters.com/flexential-las-vegas-downtown,1.0,33135.0,"304 E Carson Ave suite 370, Las Vegas, NV, 89101, USA",,
h5-cincinnati-ii,datacenters.com,H5 Data Centers: Cincinnati II Data Center,H5 Data Centers,925 Dalton Avenue,Cincinnati,,OH,USA,107000 sqft,107000 sqft,,,"Tier III, enterprise-class","ISO 27001, SOC 2 Type 2",https://www.datacenters.com/h5-cincinnati-ii,,107000.0,"925 Dalton Avenue, Cincinnati, OH, None, USA",,
cyrusone-sat1-san-antonio,datacenters.com,CyrusOne: SAT1 San Antonio Data Center,CyrusOne,9999 Westover Hills Boulevard,San Antonio,,TX,USA,110000 sqft total space,44000 sqft colocation space,,9.0 MW total power,Enterprise,"FISMA, HIPAA, HITECH, ISO 27001, PCI DSS, SOC 1 Type 2, SOC 2, SSAE 18",https://www.datacenters.com/cyrusone-sat1-san-antonio,9.0,110000.0,"9999 Westover Hills Boulevard, San Antonio, TX, None, USA",,
wowrack-seattle,datacenters.com,,,nan,nan,,Nan,nan,,,,,,,https://www.datacenters.com/wowrack-seattle,,,None,44.933143,7.540121
